ID,N_VICTIMAS,AAAA,VICTIMA,ACUSADO,COORDENADAS,SEMESTRE
2016-0099,1,2016,CARGAS,CARGAS,"-34.59798754, -58.52340614",2016_2
2016-0100,1,2016,MOTO,OBJETO FIJO,"-34.54795581, -58.49491054",2016_2
2016-0101,1,2016,SD,SD,"-34.65014993, -58.52932872",2016_2
2016-0102,1,2016,MOTO,CARGAS,"-34.67316502, -58.50011639",2016_2
2016-0104,1,2016,MOTO,PASAJEROS,"-34.65624369, -58.46635001",2016_2
2016-0105,1,2016,PEATON,PASAJEROS,"-34.58435809, -58.45343236",2016_2
2016-0106,1,2016,PEATON,PASAJEROS,"-34.58927731, -58.38090932",2016_2
2016-0107,1,2016,MOTO,AUTO,"-34.65429986, -58.37157668",2016_2
2016-0109,1,2016,AUTO,OBJETO FIJO,"-34.63659934, -58.52280139",2016_2
2016-0110,1,2016,PEATON,SD,"-34.65903530, -58.51232237",2016_2
2016-0111,1,2016,MOTO,CARGAS,"-34.57663634, -58.47461905",2016_2
2016-0112,1,2016,MOTO,OBJETO FIJO,"-34.62282019, -58.38268809",2016_2
2016-0113,1,2016,PEATON,PASAJEROS,"-34.64564271, -58.49603546",2016_2
2016-0114,1,2016,BICICLETA,CARGAS,"-34.59394733, -58.41848605",2016_2
2016-0115,1,2016,SD,CARGAS,"-34.54917673, -58.48935041",2016_2
2016-0116,1,2016,MOTO,AUTO,"-34.68475866, -58.44451316",2016_2
2016-0117,1,2016,AUTO,AUTO,"-34.58271474, -58.39936478",2016_2
2016-0118,1,2016,AUTO,AUTO,"-34.62694503, -58.37936704",2016_2
2016-0119,1,2016,SD,SD,"-34.56353635, -58.49659234",2016_2
2016-0122,1,2016,BICICLETA,PASAJEROS,"-34.65194557, -58.47256391",2016_2
2016-0123,1,2016,MOTO,AUTO,"-34.64053676, -58.45130953",2016_2
2016-0124,1,2016,PEATON,PASAJEROS,"-34.62884871, -58.46271207",2016_2
2016-0125,1,2016,MOTO,MOTO,"-34.64243791, -58.49020869",2016_2
2016-0126,2,2016,AUTO,CARGAS,"-34.62125906, -58.52572109",2016_2
2016-0127,1,2016,PEATON,PASAJEROS,"-34.66677111, -58.44094791",2016_2
2016-0128,1,2016,PEATON,PASAJEROS,"-34.63053890, -58.41914024",2016_2
2016-0130,1,2016,MOTO,CARGAS,"-34.62764717, -58.37910942",2016_2
2016-0131,1,2016,PEATON,AUTO,"-34.64539318, -58.39871183",2016_2
2016-0132,1,2016,AUTO,PASAJEROS,"-34.62477021, -58.41036975",2016_2
2016-0133,1,2016,MOTO,AUTO,"-34.58342690, -58.40204698",2016_2
2016-0134,1,2016,MOTO,OBJETO FIJO,"-34.67648597, -58.48935287",2016_2
2016-0135,1,2016,PEATON,SD,"-34.56403694, -58.42260225",2016_2
2016-0136,1,2016,MOTO,CARGAS,"., .",2016_2
2016-0137,1,2016,MOTO,MOTO,"-34.59035925, -58.51537091",2016_2
2016-0138,1,2016,BICICLETA,CARGAS,"-34.55922742, -58.45909670",2016_2
2016-0139,1,2016,MOTO,MOTO,"-34.56539579, -58.42008769",2016_2
2016-0140,1,2016,PASAJEROS,PASAJEROS,"-34.56147293, -58.45566399",2016_2
2016-0142,1,2016,MOTO,PASAJEROS,"-34.59276462, -58.37533517",2016_2
2016-0143,1,2016,MOTO,SD,"-34.68475866, -58.44451316",2016_2
2016-0144,1,2016,PEATON,PASAJEROS,"-34.63343907, -58.35975012",2016_2
2016-0145,1,2016,MOTO,AUTO,"-34.55953855, -58.44523595",2016_2
2016-0146,1,2016,PEATON,PASAJEROS,"-34.63036565, -58.39626094",2016_2
2016-0147,1,2016,MOVIL,PASAJEROS,"-34.61799615, -58.38896772",2016_2
2016-0148,1,2016,MOTO,MOTO,"-34.59484504, -58.46536113",2016_2
2016-0150,1,2016,CARGAS,CARGAS,"-34.65273216, -58.40879146",2016_2
2016-0151,1,2016,PEATON,SD,"., .",2016_2
2016-0152,1,2016,MOTO,AUTO,"-34.64991946, -58.46451841",2016_2
2016-0153,1,2016,PEATON,MOTO,"-34.59485488, -58.42917090",2016_2
2016-0154,1,2016,MOTO,MOTO,"-34.68251141, -58.49007772",2016_2
2016-0155,1,2016,PEATON,AUTO,"-34.62772274, -58.52756365",2016_2
2016-0156,1,2016,MOTO,PASAJEROS,"-34.61943202, -58.40638983",2016_2
2016-0157,1,2016,MOTO,MOTO,"-34.61740997, -58.47576807",2016_2
2016-0159,1,2016,AUTO,SD,"-34.68475866, -58.44451316",2016_2
2016-0160,1,2016,CARGAS,OBJETO FIJO,"-34.63635787, -58.51927194",2016_2
2016-0161,1,2016,PEATON,PASAJEROS,"-34.57866344, -58.42525456",2016_2
2016-0162,1,2016,PEATON,AUTO,"-34.58518167, -58.45396573",2016_2
2016-0163,1,2016,MOTO,AUTO,"-34.59798754, -58.52340614",2016_2
2016-0164,1,2016,AUTO,AUTO,"-34.64119105, -58.42323628",2016_2
2016-0165,1,2016,BICICLETA,PASAJEROS,"-34.62841919, -58.36926144",2016_2
2016-0168,1,2016,MOTO,AUTO,"-34.64119105, -58.42323628",2016_2
2016-0169,1,2016,MOTO,PASAJEROS,"-34.55676497, -58.47935434",2016_2
2016-0170,1,2016,MOTO,AUTO,"-34.56379980, -58.50598256",2016_2
2016-0171,1,2016,MOTO,MOTO,"-34.62150748, -58.36607137",2016_2
2016-0172,1,2016,MOTO,CARGAS,"-34.63174259, -58.41918902",2016_2
2016-0173,1,2016,MOTO,CARGAS,"-34.63551751, -58.46749188",2016_2
2016-0174,1,2016,SD,SD,"., .",2016_2
2016-0175,1,2016,PEATON,BICICLETA,"-34.62960517, -58.46064174",2016_2
2016-0176,1,2016,MOTO,PASAJEROS,"-34.61232875, -58.36956186",2016_2
